sample_id,stratum,priority,from_id,from_heading,relation,effective_on,to_id,to_heading,source_doc,corpus_citations,VERDICT (correct / wrong / unclear),CORRECTED_VALUE,NOTES,CHECKED_BY,DATE
V-001,single-source | one-to-one | high-cited,1-critical,crpc-1973-s342,Power to order costs,maps_to,2024-07-01,bnss-2023-s381,Power to order costs.,ncrb_BNSS.html,59,,,,,
V-002,single-source | one-to-one | high-cited,1-critical,ipc-1860-s307,Attempt to murder,maps_to,2024-07-01,bns-2023-s109,Attempt to murder.,ncrb_BNS.html,59,,,,,
V-003,single-source | no-successor | low-cited,2-high,iea-1872-s113,Proof of cession of territory,repealed_no_successor,2024-07-01,,,ncrb_BSA.html,1,,,,,
V-004,single-source | no-successor | low-cited,2-high,ipc-1860-s265,Fraudulent use of false weight or measure,repealed_no_successor,2024-07-01,,,ncrb_BNS.html,1,,,,,
V-005,single-source | no-successor | mid-cited,2-high,ipc-1860-s14,“Servant of Government”,repealed_no_successor,2024-07-01,,,ncrb_BNS.html,13,,,,,
V-006,single-source | no-successor | mid-cited,2-high,crpc-1973-s27,Jurisdiction in the case of juveniles,repealed_no_successor,2024-07-01,,,ncrb_BNSS.html,15,,,,,
V-007,single-source | no-successor | uncited,2-high,ipc-1860-s446,House-breaking by night,repealed_no_successor,2024-07-01,,,ncrb_BNS.html,0,,,,,
V-008,single-source | no-successor | uncited,2-high,iea-1872-s88,Presumption as to telegraphic messages,repealed_no_successor,2024-07-01,,,ncrb_BSA.html,0,,,,,
V-009,single-source | one-to-many | low-cited,2-high,ipc-1860-s127,Receiving property taken by war or depredation mentioned in sections 125 and,maps_to,2024-07-01,bns-2023-s154,Committing depredation on territories of foreign State at peace with Government of India.,ncrb_BNS.html,4,,,,,
V-010,single-source | one-to-many | low-cited,2-high,crpc-1973-s350,Summary procedure for punishment for non-attendance by a witness in obedience to summons,maps_to,2024-07-01,bnss-2023-s390,"Appeals from convictions under sections 383, 384, 388 and 389.",ncrb_BNSS.html,1,,,,,
V-011,single-source | one-to-many | mid-cited,2-high,crpc-1973-s105,Reciprocal arrangements regarding processes,maps_to,2024-07-01,bnss-2023-s110,Reciprocal arrangements regarding processes.,ncrb_BNSS.html,5,,,,,
V-012,single-source | one-to-many | mid-cited,2-high,ipc-1860-s171,Wearing garb or carrying token used by public servant with fraudulent intent,maps_to,2024-07-01,bns-2023-s205,Wearing garb or carrying token used by public servant with fraudulent intent.,ncrb_BNS.html,6,,,,,
V-013,single-source | one-to-many | mid-cited,2-high,crpc-1973-s132,Protection against prosecution for acts done under preceding sections,maps_to,2024-07-01,bnss-2023-s150,Power of certain armed force officers to disperse assembly.,ncrb_BNSS.html,21,,,,,
V-014,single-source | one-to-many | uncited,2-high,ipc-1860-s228A,"Disclosure of identity of the victim of certain offences, etc",maps_to,2024-07-01,bns-2023-s73,Printing or publishing any matter relating to Court proceedings without permission.,ncrb_BNS.html,0,,,,,
V-015,single-source | one-to-many | uncited,2-high,iea-1872-s158,What matters may be proved in connection with proved statement relevant under section 32 or,maps_to,2024-07-01,bsa-2023-s27,"Relevancy of certain evidence for proving, in subsequent proceeding, truth of facts therein stated.",ncrb_BSA.html,0,,,,,
V-016,single-source | one-to-one | low-cited,2-high,ipc-1860-s187,Omission to assist public servant when bound by law to give assistance,maps_to,2024-07-01,bns-2023-s222,Omission to assist public servant when bound by law to give assistance.,ncrb_BNS.html,2,,,,,
V-017,single-source | one-to-one | low-cited,2-high,crpc-1973-s179,Offence triable where act is done or consequence ensues,maps_to,2024-07-01,bnss-2023-s199,Offence triable where act is done or consequence ensues.,ncrb_BNSS.html,4,,,,,
V-018,single-source | one-to-one | low-cited,2-high,crpc-1973-s174,"Police to enquire and report on suicide, etc",maps_to,2024-07-01,bnss-2023-s194,"Police to enquire and report on suicide, etc.",ncrb_BNSS.html,4,,,,,
V-019,single-source | one-to-one | low-cited,2-high,ipc-1860-s301,Culpable homicide by causing death of person other than person whose death was intended,maps_to,2024-07-01,bns-2023-s102,Culpable homicide by causing death of person other than person whose death was intended.,ncrb_BNS.html,1,,,,,
V-020,single-source | one-to-one | low-cited,2-high,ipc-1860-s69,Termination of imprisonment on payment of proportional part of fine,maps_to,2024-07-01,bns-2023-s8,"Amount of fine, liability in default of payment of fine, etc.",ncrb_BNS.html,3,,,,,
V-021,single-source | one-to-one | low-cited,2-high,crpc-1973-s65,Procedure when service cannot be effected as before provided,maps_to,2024-07-01,bnss-2023-s67,Procedure when service cannot be effected as before provided.,ncrb_BNSS.html,4,,,,,
V-022,single-source | one-to-one | low-cited,2-high,ipc-1860-s177,Furnishing false information,maps_to,2024-07-01,bns-2023-s212,Furnishing false information.,ncrb_BNS.html,3,,,,,
V-023,single-source | one-to-one | low-cited,2-high,crpc-1973-s343,Procedure of Magistrate taking cognizance,maps_to,2024-07-01,bnss-2023-s382,Procedure of Magistrate taking cognizance.,ncrb_BNSS.html,1,,,,,
V-024,single-source | one-to-one | low-cited,2-high,ipc-1860-s288,Negligent conduct with respect to pulling down or repairing buildings,maps_to,2024-07-01,bns-2023-s290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc.",ncrb_BNS.html,3,,,,,
V-025,single-source | one-to-one | low-cited,2-high,crpc-1973-s159,Power to hold investigation or preliminary inquiry,maps_to,2024-07-01,bnss-2023-s178,Power to hold investigation or preliminary inquiry.,ncrb_BNSS.html,4,,,,,
V-026,single-source | one-to-one | low-cited,2-high,crpc-1973-s134,Service or notification of order,maps_to,2024-07-01,bnss-2023-s153,Service or notification of order.,ncrb_BNSS.html,4,,,,,
V-027,single-source | one-to-one | low-cited,2-high,crpc-1973-s345,Procedure in certain cases of contempt,maps_to,2024-07-01,bnss-2023-s384,Procedure in certain cases of contempt.,ncrb_BNSS.html,1,,,,,
V-028,single-source | one-to-one | low-cited,2-high,crpc-1973-s87,"Issue of warrant in lieu of, or in addition to, summons",maps_to,2024-07-01,bnss-2023-s90,"Issue of warrant in lieu of, or in addition to, summons.",ncrb_BNSS.html,3,,,,,
V-029,single-source | one-to-one | low-cited,2-high,crpc-1973-s256,Non-appearance or death of complainant,maps_to,2024-07-01,bnss-2023-s279,Non-appearance or death of complainant.,ncrb_BNSS.html,2,,,,,
V-030,single-source | one-to-one | low-cited,2-high,crpc-1973-s147,Dispute concerning right of use of land or water,maps_to,2024-07-01,bnss-2023-s166,Dispute concerning right of use of land or water.,ncrb_BNSS.html,4,,,,,
V-031,single-source | one-to-one | low-cited,2-high,ipc-1860-s206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,maps_to,2024-07-01,bns-2023-s243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.,ncrb_BNS.html,1,,,,,
V-032,single-source | one-to-one | low-cited,2-high,iea-1872-s113A,Presumption as to abetment of suicide by a married woman,maps_to,2024-07-01,bsa-2023-s117,Presumption as to abetment of suicide by a married woman.,ncrb_BSA.html,1,,,,,
V-033,single-source | one-to-one | low-cited,2-high,ipc-1860-s333,Voluntarily causing grievous hurt to deter public servant from his duty,maps_to,2024-07-01,bns-2023-s121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty.,ncrb_BNS.html,3,,,,,
V-034,single-source | one-to-one | low-cited,2-high,iea-1872-s72,Proof of document not required by law to be attested,maps_to,2024-07-01,bsa-2023-s71,Proof of document not required by law to be attested.,ncrb_BSA.html,2,,,,,
V-035,single-source | one-to-one | low-cited,2-high,iea-1872-s87,"Presumption as to books, maps and charts",maps_to,2024-07-01,bsa-2023-s89,"Presumption as to books, maps and charts.",ncrb_BSA.html,1,,,,,
V-036,single-source | one-to-one | low-cited,2-high,ipc-1860-s215,"Taking gift to help to recover stolen property, etc",maps_to,2024-07-01,bns-2023-s252,"Taking gift to help to recover stolen property, etc.",ncrb_BNS.html,1,,,,,
V-037,single-source | one-to-one | low-cited,2-high,iea-1872-s91,"Evidence of terms of contracts, grants and other dispositions of property reduced to form of document",maps_to,2024-07-01,bsa-2023-s94,"Evidence of terms of contracts, grants and other dispositions of property reduced to form of document.",ncrb_BSA.html,4,,,,,
V-038,single-source | one-to-one | low-cited,2-high,iea-1872-s29,"Confession otherwise relevant not to become irrelevant because of promise of secrecy, etc",maps_to,2024-07-01,bsa-2023-s22,"Confession caused by inducement, threat, coercion or promise, when irrelevant in criminal proceeding.",ncrb_BSA.html,1,,,,,
V-039,single-source | one-to-one | low-cited,2-high,ipc-1860-s153B,"Imputations, assertions prejudicial to national integration",maps_to,2024-07-01,bns-2023-s197,"Imputations, assertions prejudicial to national integration.",ncrb_BNS.html,1,,,,,
V-040,single-source | one-to-one | low-cited,2-high,ipc-1860-s67,"Imprisonment for non-payment of fine, when offence punishable with fine only",maps_to,2024-07-01,bns-2023-s8,"Amount of fine, liability in default of payment of fine, etc.",ncrb_BNS.html,1,,,,,
V-041,single-source | one-to-one | low-cited,2-high,ipc-1860-s158,Being hired to take part in an unlawful assembly or riot,maps_to,2024-07-01,bns-2023-s189,Unlawful assembly.,ncrb_BNS.html,1,,,,,
V-042,single-source | one-to-one | low-cited,2-high,crpc-1973-s424,Suspension of execution of sentence of imprisonment,maps_to,2024-07-01,bnss-2023-s464,Suspension of execution of sentence of imprisonment.,ncrb_BNSS.html,3,,,,,
V-043,single-source | one-to-one | low-cited,2-high,crpc-1973-s442,Discharge from custody,maps_to,2024-07-01,bnss-2023-s487,Discharge from custody.,ncrb_BNSS.html,2,,,,,
V-044,single-source | one-to-one | low-cited,2-high,ipc-1860-s256,Having possession of instrument or material for counterfeiting Government stamp,maps_to,2024-07-01,bns-2023-s181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes.",ncrb_BNS.html,1,,,,,
V-045,single-source | one-to-one | low-cited,2-high,ipc-1860-s172,Absconding to avoid service of summons or other proceeding,maps_to,2024-07-01,bns-2023-s206,Absconding to avoid service of summons or other proceeding.,ncrb_BNS.html,4,,,,,
V-046,single-source | one-to-one | low-cited,2-high,crpc-1973-s49,No unnecessary restraint,maps_to,2024-07-01,bnss-2023-s46,No unnecessary restraint.,ncrb_BNSS.html,4,,,,,
V-047,single-source | one-to-one | low-cited,2-high,crpc-1973-s296,Evidence of formal character on affidavit,maps_to,2024-07-01,bnss-2023-s332,Evidence of formal character on affidavit.,ncrb_BNSS.html,1,,,,,
V-048,single-source | one-to-one | low-cited,2-high,crpc-1973-s395,Reference to High Court,maps_to,2024-07-01,bnss-2023-s436,Reference to High Court.,ncrb_BNSS.html,4,,,,,
V-049,single-source | one-to-one | low-cited,2-high,ipc-1860-s86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,maps_to,2024-07-01,bns-2023-s24,Offence requiring a particular intent or knowledge committed by one who is intoxicated.,ncrb_BNS.html,3,,,,,
V-050,single-source | one-to-one | low-cited,2-high,ipc-1860-s217,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,maps_to,2024-07-01,bns-2023-s255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.,ncrb_BNS.html,1,,,,,
V-051,single-source | one-to-one | low-cited,2-high,ipc-1860-s48,“Vessel”,maps_to,2024-07-01,bns-2023-s2,Definitions.,ncrb_BNS.html,2,,,,,
V-052,single-source | one-to-one | low-cited,2-high,ipc-1860-s489A,Counterfeiting currency-notes or bank-notes,maps_to,2024-07-01,bns-2023-s178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes.",ncrb_BNS.html,2,,,,,
V-053,single-source | one-to-one | low-cited,2-high,iea-1872-s36,"Relevancy of statements in maps, charts and plans",maps_to,2024-07-01,bsa-2023-s30,"Relevancy of statements in maps, charts and plans.",ncrb_BSA.html,2,,,,,
V-054,single-source | one-to-one | low-cited,2-high,crpc-1973-s371,Procedure in cases submitted to High Court for confirmation,maps_to,2024-07-01,bnss-2023-s412,Procedure in cases submitted to High Court for confirmation.,ncrb_BNSS.html,1,,,,,
V-055,single-source | one-to-one | mid-cited,2-high,crpc-1973-s120,Contents of bond,maps_to,2024-07-01,bnss-2023-s139,Contents of bond.,ncrb_BNSS.html,12,,,,,
V-056,single-source | one-to-one | mid-cited,2-high,ipc-1860-s45,“Life”,maps_to,2024-07-01,bns-2023-s2,Definitions.,ncrb_BNS.html,6,,,,,
V-057,single-source | one-to-one | mid-cited,2-high,crpc-1973-s146,Power to attach subject of dispute and to appoint receiver,maps_to,2024-07-01,bnss-2023-s165,Power to attach subject of dispute and to appoint receiver.,ncrb_BNSS.html,11,,,,,
V-058,single-source | one-to-one | mid-cited,2-high,iea-1872-s13,Facts relevant when right or custom is in question,maps_to,2024-07-01,bsa-2023-s11,Facts relevant when right or custom is in question.,ncrb_BSA.html,5,,,,,
V-059,single-source | one-to-one | mid-cited,2-high,crpc-1973-s39,Public to give information of certain offences,maps_to,2024-07-01,bnss-2023-s33,Public to give information of certain offences.,ncrb_BNSS.html,11,,,,,
V-060,single-source | one-to-one | mid-cited,2-high,crpc-1973-s207,Supply to the accused of copy of police report and other documents,maps_to,2024-07-01,bnss-2023-s230,Supply to accused of copy of police report and other documents.,ncrb_BNSS.html,8,,,,,
V-061,single-source | one-to-one | mid-cited,2-high,ipc-1860-s395,Punishment for dacoity,maps_to,2024-07-01,bns-2023-s310,Dacoity.,ncrb_BNS.html,12,,,,,
V-062,single-source | one-to-one | mid-cited,2-high,ipc-1860-s379,Punishment for theft,maps_to,2024-07-01,bns-2023-s303,Theft.,ncrb_BNS.html,15,,,,,
V-063,single-source | one-to-one | mid-cited,2-high,crpc-1973-s37,Public when to assist Magistrates and police,maps_to,2024-07-01,bnss-2023-s31,Public when to assist Magistrates and police.,ncrb_BNSS.html,25,,,,,
V-064,single-source | one-to-one | mid-cited,2-high,iea-1872-s5,Evidence may be given of facts in issue and relevant facts,maps_to,2024-07-01,bsa-2023-s3,Evidence may be given of facts in issue and relevant facts.,ncrb_BSA.html,15,,,,,
V-065,single-source | one-to-one | mid-cited,2-high,ipc-1860-s105,Commencement and continuance of the right of private defence of property,maps_to,2024-07-01,bns-2023-s43,Commencement and continuance of right of private defence of property.,ncrb_BNS.html,10,,,,,
V-066,single-source | one-to-one | mid-cited,2-high,iea-1872-s167,No new trial for improper admission or rejection of evidence,maps_to,2024-07-01,bsa-2023-s169,No new trial for improper admission or rejection of evidence.,ncrb_BSA.html,6,,,,,
V-067,single-source | one-to-one | mid-cited,2-high,crpc-1973-s30,Sentence of imprisonment in default of fine,maps_to,2024-07-01,bnss-2023-s24,Sentence of imprisonment in default of fine.,ncrb_BNSS.html,11,,,,,
V-068,single-source | one-to-one | mid-cited,2-high,crpc-1973-s106,Security for keeping peace on conviction,maps_to,2024-07-01,bnss-2023-s125,Security for keeping peace on conviction.,ncrb_BNSS.html,7,,,,,
V-069,single-source | one-to-one | mid-cited,2-high,iea-1872-s6,Relevancy of facts forming part of same transaction,maps_to,2024-07-01,bsa-2023-s4,Relevancy of facts forming part of same transaction.,ncrb_BSA.html,8,,,,,
V-070,single-source | one-to-one | mid-cited,2-high,ipc-1860-s103,When the right of private defence of property extends to causing death,maps_to,2024-07-01,bns-2023-s41,When right of private defence of property extends to causing death.,ncrb_BNS.html,11,,,,,
V-071,single-source | one-to-one | mid-cited,2-high,crpc-1973-s429,Saving,maps_to,2024-07-01,bnss-2023-s469,Saving.,ncrb_BNSS.html,6,,,,,
V-072,single-source | one-to-one | mid-cited,2-high,iea-1872-s3,Interpretation-clause,maps_to,2024-07-01,bsa-2023-s2,Definitions.,ncrb_BSA.html,20,,,,,
V-073,single-source | one-to-one | mid-cited,2-high,ipc-1860-s463,Forgery,maps_to,2024-07-01,bns-2023-s336,Forgery.,ncrb_BNS.html,6,,,,,
V-074,single-source | one-to-one | mid-cited,2-high,crpc-1973-s357,Order to pay compensation,maps_to,2024-07-01,bnss-2023-s395,Order to pay compensation.,ncrb_BNSS.html,6,,,,,
V-075,single-source | one-to-one | mid-cited,2-high,ipc-1860-s101,When such right extends to causing any harm other than death,maps_to,2024-07-01,bns-2023-s39,When such right extends to causing any harm other than death.,ncrb_BNS.html,5,,,,,
V-076,single-source | one-to-one | mid-cited,2-high,crpc-1973-s377,Appeal by the State Government against sentence,maps_to,2024-07-01,bnss-2023-s418,Appeal by State Government against sentence.,ncrb_BNSS.html,8,,,,,
V-077,single-source | one-to-one | mid-cited,2-high,ipc-1860-s143,Punishment,maps_to,2024-07-01,bns-2023-s189,Unlawful assembly.,ncrb_BNS.html,6,,,,,
V-078,single-source | one-to-one | mid-cited,2-high,ipc-1860-s477,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security",maps_to,2024-07-01,bns-2023-s343,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security.",ncrb_BNS.html,5,,,,,
V-079,single-source | one-to-one | mid-cited,2-high,iea-1872-s30,Consideration of proved confession affecting person making it and others jointly under trial for same offence,maps_to,2024-07-01,bsa-2023-s24,Consideration of proved confession affecting person making it and others jointly under trial for same offence.,ncrb_BSA.html,5,,,,,
V-080,single-source | one-to-one | uncited,2-high,ipc-1860-s422,Dishonestly or fraudulently preventing debt being available for creditors,maps_to,2024-07-01,bns-2023-s321,Dishonestly or fraudulently preventing debt being available for creditors.,ncrb_BNS.html,0,,,,,
V-081,single-source | one-to-one | uncited,2-high,ipc-1860-s359,Kidnapping,maps_to,2024-07-01,bns-2023-s137,Kidnapping.,ncrb_BNS.html,0,,,,,
